# ID	x	y	Flux	Bkg	m
5.7100e+02	4.7300e+02	2.1360e+03	6.4830e+03	3.4200e+03	1.5771e+01
5.7200e+02	4.1100e+02	2.9290e+03	1.3048e+04	3.4240e+03	1.5011e+01
5.7300e+02	2.1250e+03	4.3200e+02	9.2120e+03	3.4080e+03	1.5389e+01
5.7400e+02	2.0600e+03	1.9610e+03	9.0010e+03	3.4170e+03	1.5414e+01
5.7500e+02	1.1910e+03	4.4530e+03	6.2480e+03	3.4220e+03	1.5811e+01
5.7600e+02	2.3820e+03	2.2300e+02	4.7200e+03	3.4090e+03	1.6115e+01
5.7700e+02	3.4600e+02	2.0100e+03	1.8171e+04	3.4220e+03	1.4652e+01
5.7800e+02	7.4400e+02	4.4000e+03	8.5690e+03	3.4150e+03	1.5468e+01
5.7900e+02	1.7560e+03	2.8240e+03	1.2309e+04	3.4310e+03	1.5074e+01
5.8000e+02	2.4460e+03	4.3040e+03	9.4110e+03	3.4080e+03	1.5366e+01
5.8100e+02	7.4700e+02	2.6100e+03	1.1573e+04	3.4280e+03	1.5141e+01
5.8200e+02	1.0710e+03	8.8100e+02	5.6970e+03	3.4260e+03	1.5911e+01
5.8300e+02	1.0020e+03	2.5360e+03	7.4750e+03	3.4270e+03	1.5616e+01
5.8400e+02	2.4020e+03	3.9440e+03	4.8330e+03	3.4150e+03	1.6089e+01
5.8500e+02	1.6120e+03	4.4360e+03	6.5530e+03	3.4240e+03	1.5759e+01
5.8600e+02	1.7780e+03	3.8400e+02	1.0501e+04	3.4110e+03	1.5247e+01
5.8700e+02	2.2160e+03	2.6240e+03	7.0710e+03	3.4170e+03	1.5676e+01
5.8800e+02	2.1180e+03	4.2700e+03	4.3450e+03	3.4180e+03	1.6205e+01
5.8900e+02	1.4620e+03	2.7500e+02	7.2100e+03	3.4260e+03	1.5655e+01
5.9000e+02	2.3490e+03	9.5000e+02	7.8490e+03	3.4110e+03	1.5563e+01
5.9100e+02	2.0960e+03	4.4560e+03	9.3940e+03	3.4140e+03	1.5368e+01
5.9200e+02	1.0860e+03	6.7000e+02	6.5640e+03	3.4340e+03	1.5757e+01
5.9300e+02	8.7200e+02	9.1200e+02	8.8690e+03	3.4250e+03	1.5430e+01
5.9400e+02	2.4250e+03	2.2930e+03	8.3010e+03	3.4240e+03	1.5502e+01
5.9500e+02	4.0100e+02	1.2180e+03	6.6610e+03	3.4260e+03	1.5741e+01
5.9600e+02	4.2800e+02	1.7860e+03	1.7997e+04	3.4210e+03	1.4662e+01
5.9700e+02	5.7600e+02	1.8460e+03	8.8970e+03	3.4200e+03	1.5427e+01
5.9800e+02	6.5300e+02	3.5870e+03	5.2990e+03	3.4270e+03	1.5990e+01
5.9900e+02	2.3540e+03	1.3520e+03	1.1796e+04	3.4370e+03	1.5121e+01
6.0000e+02	9.3200e+02	1.5700e+02	1.0449e+04	3.4200e+03	1.5252e+01
6.0100e+02	1.3080e+03	2.6200e+02	1.4622e+04	3.4280e+03	1.4887e+01
6.0200e+02	5.0500e+02	6.3600e+02	6.2510e+03	3.4290e+03	1.5810e+01
6.0300e+02	3.9900e+02	1.1850e+03	8.7470e+03	3.4210e+03	1.5445e+01
